"position","Points:0","Points:1","Points:2"
0,5.2888,22.748,-4.7854
0,5.2327,22.754,-4.7642
0,5.2841,22.76,-4.7372
0,5.1891,22.76,-4.7426
0,5.2051,22.779,-4.7388
0,5.2047,22.744,-4.7298
0,5.2013,22.763,-4.7278
0,5.2698,22.772,-4.6919
0,5.2732,22.753,-4.6938
0,5.2736,22.788,-4.7028
0,5.2892,22.772,-4.69
0,5.141,22.764,-4.7295
0,5.1888,22.822,-4.7181
0,5.1878,22.717,-4.6912
0,5.1775,22.775,-4.6853
0,5.2461,22.783,-4.6493
0,5.2564,22.726,-4.6552
0,5.2574,22.83,-4.6821
0,5.3042,22.784,-4.6438
0,5.0929,22.767,-4.7164
0,5.1726,22.864,-4.6974
0,5.1709,22.69,-4.6526
0,5.1538,22.786,-4.6427
0,5.2223,22.794,-4.6068
0,5.2395,22.699,-4.6166
0,5.2412,22.873,-4.6614
0,5.3192,22.796,-4.5976
0,5.3755,22.702,-4.9606
0,5.3933,22.693,-4.9925
0,5.4247,22.684,-5.0289
0,5.4637,22.675,-5.059
0,5.4076,22.681,-5.0378
0,5.4123,22.669,-5.086
0,5.2916,22.741,-4.9597
0,5.3079,22.758,-4.952
0,5.3028,22.724,-4.946
0,5.2779,22.759,-4.9692
0,5.2728,22.726,-4.9632
0,5.3105,22.738,-4.9629
0,5.2997,22.753,-4.973
0,5.2845,22.739,-4.9778
0,5.2953,22.724,-4.9678
0,5.2859,22.753,-4.8984
0,5.2679,22.778,-4.9152
0,5.2425,22.755,-4.9232
0,5.2605,22.73,-4.9065
0,5.3479,22.788,-4.9494
0,5.3325,22.687,-4.9313
0,5.2577,22.792,-5.0009
0,5.2424,22.691,-4.9828
0,5.3555,22.728,-4.9821
0,5.3231,22.773,-5.0122
0,5.2775,22.731,-5.0267
0,5.3098,22.686,-4.9966
0,5.3293,22.751,-4.8736
0,5.2753,22.827,-4.9238
0,5.1992,22.757,-4.948
0,5.2532,22.681,-4.8978
0,5.3878,22.818,-4.9468
0,5.3622,22.649,-4.9167
0,5.2375,22.825,-5.0326
0,5.212,22.657,-5.0025
0,5.4006,22.717,-5.0013
0,5.3466,22.794,-5.0515
0,5.2704,22.724,-5.0756
0,5.3244,22.647,-5.0254
0,5.3727,22.749,-4.8489
0,5.2827,22.876,-4.9325
0,5.1558,22.759,-4.9728
0,5.2458,22.632,-4.8891
0,5.2761,22.749,-4.9321
0,5.2524,22.76,-4.8895
0,5.2286,22.771,-4.847
0,5.2142,22.781,-4.8013
0,5.1974,22.782,-4.8109
0,5.2093,22.791,-4.7524
0,5.1586,22.793,-4.7814
0,5.214,22.799,-4.7043
0,5.1958,22.782,-4.7101
0,5.2011,22.817,-4.7163
0,5.1949,22.801,-4.7068
0,5.1273,22.804,-4.7453
0,5.1336,22.82,-4.7549
0,5.1283,22.785,-4.7487
0,5.1154,22.803,-4.7607
0,5.2286,22.805,-4.6569
0,5.174,22.755,-4.6742
0,5.1899,22.86,-4.6929
0,5.1711,22.812,-4.6642
0,5.1036,22.816,-4.7028
0,5.1223,22.863,-4.7315
0,5.1064,22.758,-4.7128
0,5.0677,22.813,-4.7488
0,5.2432,22.811,-4.6095
0,5.1522,22.728,-4.6383
0,5.1786,22.902,-4.6695
0,5.1474,22.823,-4.6217
0,5.0798,22.827,-4.6602
0,5.1111,22.906,-4.7081
0,5.0846,22.731,-4.6769
0,5.02,22.822,-4.7369
0,5.3011,22.737,-4.9768
0,5.3189,22.728,-5.0087
0,5.3332,22.718,-5.0544
0,5.3382,22.709,-5.1032
0,5.3501,22.717,-5.0447
0,5.3889,22.706,-5.0743
0,5.3686,23.025,-5.0995
0,5.3694,23.049,-5.1025
0,5.3889,23.026,-5.0856
0,5.3459,23.025,-5.1091
0,5.3654,23.002,-5.0922
0,5.3847,23.033,-5.1072
0,5.3661,23.032,-5.1175
0,5.3644,23.012,-5.113
0,5.3829,23.012,-5.1028
0,5.3582,23.056,-5.0458
0,5.3272,23.055,-5.0628
0,5.3243,23.02,-5.0553
0,5.3553,23.021,-5.0383
0,5.3782,23.095,-5.1213
0,5.4365,23.025,-5.0705
0,5.3078,23.021,-5.1412
0,5.3661,22.952,-5.0904
0,5.424,23.045,-5.1355
0,5.3683,23.043,-5.1662
0,5.363,22.981,-5.1528
0,5.4188,22.983,-5.1222
0,5.3921,23.091,-5.0362
0,5.2992,23.088,-5.0872
0,5.2904,22.985,-5.0649
0,5.3833,22.988,-5.0139
0,5.387,23.14,-5.1401
0,5.4842,23.025,-5.0554
0,5.2696,23.017,-5.1733
0,5.3668,22.902,-5.0886
0,5.4634,23.058,-5.1638
0,5.3704,23.054,-5.2149
0,5.3617,22.951,-5.1926
0,5.4546,22.954,-5.1415
0,5.426,23.127,-5.0266
0,5.2711,23.121,-5.1117
0,5.2565,22.949,-5.0745
0,5.4114,22.954,-4.9894
0,5.3531,23.032,-5.0718
0,5.3294,23.043,-5.0293
0,5.3056,23.055,-4.9867
0,5.2894,23.072,-4.944
0,5.2762,23.059,-4.9477
0,5.2808,23.096,-4.9011
0,5.2412,23.055,-4.9123
0,5.2803,23.125,-4.8613
0,5.2782,23.1,-4.856
0,5.2581,23.124,-4.8735
0,5.2645,23.114,-4.8583
0,5.2117,23.059,-4.8733
0,5.2053,23.069,-4.8885
0,5.2254,23.045,-4.8709
0,5.2032,23.044,-4.8831
0,5.2881,23.158,-4.8248
0,5.2818,23.084,-4.8088
0,5.2214,23.156,-4.8614
0,5.2408,23.125,-4.8158
0,5.188,23.07,-4.8307
0,5.1686,23.101,-4.8764
0,5.229,23.029,-4.8238
0,5.1623,23.027,-4.8604
0,5.2958,23.192,-4.7883
0,5.2854,23.068,-4.7616
0,5.1847,23.188,-4.8493
0,5.217,23.137,-4.7732
0,5.1642,23.081,-4.7882
0,5.1319,23.133,-4.8643
0,5.2326,23.013,-4.7766
0,5.1215,23.009,-4.8376
0,5.3781,23.021,-5.1165
0,5.3959,23.012,-5.1484
0,5.4121,22.994,-5.1912
0,5.4208,22.97,-5.2341
0,5.4253,23.008,-5.1874
0,5.4604,23.012,-5.2229
0,5.4435,22.823,-4.9745
0,5.4404,22.847,-4.9796
0,5.4638,22.828,-4.9617
0,5.4209,22.818,-4.983
0,5.4443,22.8,-4.9651
0,5.4579,22.832,-4.9836
0,5.4393,22.828,-4.9929
0,5.441,22.808,-4.9866
0,5.4596,22.812,-4.9774
0,5.4303,22.856,-4.9231
0,5.3993,22.849,-4.9384
0,5.4022,22.815,-4.928
0,5.4331,22.822,-4.9127
0,5.4412,22.891,-5.0026
0,5.5115,22.836,-4.9489
0,5.3827,22.806,-5.0128
0,5.453,22.751,-4.9592
0,5.4938,22.848,-5.0147
0,5.4381,22.835,-5.0424
0,5.4432,22.774,-5.0236
0,5.4989,22.787,-4.9959
0,5.4585,22.897,-4.9182
0,5.3655,22.875,-4.9642
0,5.374,22.774,-4.9329
0,5.467,22.796,-4.8869
0,5.4421,22.935,-5.0255
0,5.5592,22.844,-4.9362
0,5.3445,22.793,-5.0426
0,5.4617,22.702,-4.9532
0,5.5297,22.864,-5.0458
0,5.4368,22.841,-5.0919
0,5.4453,22.74,-5.0606
0,5.5382,22.763,-5.0145
0,5.4866,22.938,-4.9132
0,5.3317,22.901,-4.99
0,5.3459,22.733,-4.9378
0,5.5008,22.77,-4.8611
0,5.4281,22.83,-4.9468
0,5.4044,22.841,-4.9043
0,5.3806,22.852,-4.8617
0,5.3633,22.871,-4.8199
0,5.3523,22.855,-4.8218
0,5.3524,22.897,-4.7788
0,5.3195,22.849,-4.7845
0,5.3487,22.929,-4.7416
0,5.3508,22.905,-4.7342
0,5.3265,22.924,-4.7527
0,5.335,22.916,-4.737
0,5.2912,22.852,-4.7446
0,5.2827,22.86,-4.7603
0,5.3069,22.841,-4.7418
0,5.2847,22.836,-4.7528
0,5.3524,22.966,-4.7085
0,5.3585,22.894,-4.686
0,5.2857,22.951,-4.7415
0,5.3113,22.927,-4.6944
0,5.2674,22.863,-4.7021
0,5.2418,22.887,-4.7492
